Frequency,Manitude,Phase
47.86300923,5.975130633,-5.70212729
48.97788194,5.973633687,-5.83042935
50.11872336,5.971635359,-5.966332803
51.2861384,5.969795828,-6.114290195
52.48074602,5.96795357,-6.250172723
53.70317964,5.966160855,-6.389390349
54.95408739,5.964079667,-6.519049225
56.23413252,5.96221878,-6.695588769
57.54399373,5.961621732,-6.84905484
58.88436554,5.959718456,-6.986285143
60.25595861,5.957588609,-7.143770325
61.65950019,5.956899632,-7.316128592
63.09573445,5.953359859,-7.498361437
64.5654229,5.951922847,-7.664289635
66.0693448,5.947030181,-7.848860665
67.60829754,5.947737938,-8.025447652
69.18309709,5.944223191,-8.209642835
70.79457844,5.941505936,-8.39484478
72.44359601,5.936323952,-8.598338547
74.13102413,5.933492868,-8.792618505
75.8577575,5.931812932,-8.99333143
77.62471166,5.929023849,-9.196965459
79.43282347,5.923027249,-9.412978356
81.28305162,5.920828102,-9.620875571
83.17637711,5.917201208,-9.852920557
85.11380382,5.913474109,-10.07551521
87.096359,5.909908947,-10.30059854
89.12509381,5.904981065,-10.54770829
91.20108394,5.901262049,-10.79333018
93.32543008,5.896072078,-11.02861204
95.4992586,5.89145698,-11.28153679
97.7237221,5.885539876,-11.54697458
100,5.880902403,-11.80576158
102.3292992,5.873583864,-12.08218674
104.7128548,5.867547244,-12.35483826
107.1519305,5.86403676,-12.63488098
109.6478196,5.856996083,-12.91796507
112.2018454,5.850587239,-13.22122302
114.8153621,5.844489171,-13.52689121
117.4897555,5.834873947,-13.83371956
120.2264435,5.828569243,-14.1495731
123.0268771,5.820407569,-14.46795152
125.8925412,5.811722148,-14.80540947
128.8249552,5.80330977,-15.13260401
131.8256739,5.795715482,-15.47411447
134.8962883,5.78488551,-15.81899541
138.0384265,5.774234594,-16.18718846
141.2537545,5.762975395,-16.54437996
144.5439771,5.754119389,-16.90626823
147.9108388,5.743656209,-17.31445452
151.3561248,5.732865418,-17.70380882
154.8816619,5.717724798,-18.09977888
158.4893192,5.707985289,-18.5104722
162.1810097,5.69395606,-18.92255104
165.9586907,5.679213378,-19.34265996
169.8243652,5.665706942,-19.77740426
173.7800829,5.651770991,-20.21094077
177.827941,5.634911618,-20.6738724
181.9700859,5.616985087,-21.11902691
186.2087137,5.601165699,-21.6013976
190.5460718,5.583813749,-22.08072673
194.98446,5.565946004,-22.57244025
199.5262315,5.546550919,-23.07155986
204.1737945,5.52608382,-23.58036239
208.9296131,5.50497109,-24.08975127
213.796209,5.48424177,-24.63813849
218.7761624,5.461245981,-25.17007262
223.8721139,5.437157193,-25.72372235
229.0867653,5.413759896,-26.28521493
234.4228815,5.386178004,-26.86581708
239.8832919,5.358889265,-27.43271178
245.4708916,5.332281537,-28.03074796
251.1886432,5.303484179,-28.64328471
257.0395783,5.273771053,-29.24143134
263.0267992,5.242008613,-29.89180168
269.1534804,5.209325958,-30.50647165
275.4228703,5.175356007,-31.17988116
281.8382931,5.138394441,-31.82890581
288.4031503,5.103191257,-32.49849947
295.1209227,5.06625828,-33.18769937
301.995172,5.025245566,-33.89220082
309.0295433,4.984862509,-34.60140828
316.227766,4.942170539,-35.31845516
323.5936569,4.896868674,-36.07033614
331.1311215,4.849265722,-36.79763509
338.8441561,4.803305363,-37.55271066
346.7368505,4.75240918,-38.32518766
354.8133892,4.699505922,-39.09974005
363.0780548,4.645803955,-39.9057672
371.5352291,4.593223628,-40.70484546
380.1893963,4.535417745,-41.5482958
389.045145,4.474663376,-42.35294347
398.1071706,4.414213612,-43.20757329
407.3802778,4.350003367,-44.06167273
416.8693835,4.283062863,-44.91840945
426.5795188,4.217188273,-45.79018983
436.5158322,4.147209807,-46.69133252
446.6835922,4.070675776,-47.57127301
457.0881896,3.995780372,-48.49766794
467.7351413,3.9192639,-49.42293994
478.6300923,3.840160436,-50.35291013
489.7788194,3.75857578,-51.2899716
501.1872336,3.669853042,-52.2475637
512.861384,3.582077342,-53.21322676
524.8074602,3.492218132,-54.18254379
537.0317964,3.396770439,-55.15881774
549.5408739,3.300670776,-56.15084241
562.3413252,3.200940282,-57.17671856
575.4399373,3.101269973,-58.16913564
588.8436554,2.994037186,-59.19757312
602.5595861,2.886371453,-60.23727301
616.5950019,2.775511193,-61.29156541
630.9573445,2.659054196,-62.33782768
645.654229,2.54260605,-63.38483326
660.693448,2.421557732,-64.44858709
676.0829754,2.299680406,-65.50065531
691.8309709,2.169461058,-66.60201914
707.9457844,2.039281012,-67.68176356
724.4359601,1.906819682,-68.77052251
741.3102413,1.770456983,-69.88534469
758.577575,1.632009638,-70.98940249
776.2471166,1.491163439,-72.07986981
794.3282347,1.340546079,-73.20343378
812.8305162,1.191493062,-74.33009695
831.7637711,1.037296009,-75.48089713
851.1380382,0.88190825,-76.59277768
870.96359,0.722187186,-77.70873144
891.2509381,0.554028592,-78.81316268
912.0108394,0.387980069,-79.97062141
933.2543008,0.217399915,-81.1226159
954.992586,0.040490368,-82.28607629
977.237221,-0.135196508,-83.42310992
1000,-0.31586744,-84.55307313
1023.292992,-0.501011687,-85.75496482
1047.128548,-0.694889556,-86.89638258
1071.519305,-0.885556699,-88.03803112
1096.478196,-1.079740405,-89.1702116
1122.018454,-1.280662703,-90.33666578
1148.153621,-1.488231252,-91.49174688
1174.897555,-1.685105629,-92.62963344
1202.264435,-1.896558295,-93.78720642
1230.268771,-2.113759688,-94.95139569
1258.925412,-2.332100365,-96.08561126
1288.249552,-2.545026525,-97.23910708
1318.256739,-2.771913389,-98.39895618
1348.962883,-3.007023887,-99.55468274
1380.384265,-3.232795029,-100.6868491
1412.537545,-3.469872817,-101.8281589
1445.439771,-3.705351227,-102.9475641
1479.108388,-3.95204188,-104.049922
1513.561248,-4.191489344,-105.1522018
1548.816619,-4.448796937,-106.2925972
1584.893192,-4.695473552,-107.4337319
1621.810097,-4.949234359,-108.544785
1659.586907,-5.210580351,-109.6333236
1698.243652,-5.475537246,-110.7477728
1737.800829,-5.742509972,-111.8623353
1778.27941,-6.010135039,-112.8861639
1819.700859,-6.279893064,-114.0180211
1862.087137,-6.55445668,-115.1286886
1905.460718,-6.83467824,-116.1776311
1949.8446,-7.116953909,-117.155024
1995.262315,-7.413426111,-118.2471572
2041.737945,-7.701591823,-119.3196557
2089.296131,-7.983304066,-120.2682307
2137.96209,-8.284769066,-121.2792866
2187.761624,-8.575649591,-122.3739353
2238.721139,-8.880451777,-123.3198425
2290.867653,-9.17343702,-124.322339
2344.228815,-9.483943439,-125.2993091
2398.832919,-9.783813949,-126.2610846
2454.708916,-10.10949736,-127.2544753
2511.886432,-10.41532462,-128.2007601
2570.395783,-10.7332654,-129.1912574
2630.267992,-11.05394684,-130.0382346
2691.534804,-11.37565714,-130.9013081
2754.228703,-11.71530641,-131.9057456
2818.382931,-12.03344287,-132.7699617
2884.031503,-12.37930167,-133.5961753
2951.209227,-12.70168363,-134.5207337
3019.95172,-13.03706531,-135.3106154
3090.295433,-13.39179926,-136.2110431
3162.27766,-13.71602384,-137.0705834
3235.936569,-14.03488919,-137.8707539
3311.311215,-14.39616327,-138.5615527
3388.441561,-14.75274965,-139.3591182
3467.368505,-15.11262426,-140.3509698
3548.133892,-15.43592731,-140.8831251
3630.780548,-15.80852814,-141.6598399
3715.352291,-16.14377104,-142.4545792
3801.893963,-16.50336536,-143.0854139
3890.45145,-16.85165996,-143.9568594
3981.071706,-17.21343246,-144.6668106
4073.802778,-17.5778872,-145.3248087
4168.693835,-17.90991712,-145.9422557
4265.795188,-18.27762859,-146.5914611
4365.158322,-18.64818034,-147.1829276
4466.835922,-18.98922203,-147.8532788
4570.881896,-19.33764735,-148.3897432
4677.351413,-19.70840989,-149.1026416
4786.300923,-20.04728563,-149.7289751
4897.788194,-20.42501799,-150.127923
5011.872336,-20.79475478,-151.1101843
5128.61384,-21.16343115,-151.4351974
5248.074602,-21.53991908,-152.0440253
5370.317964,-21.88174883,-152.8663399
5495.408739,-22.2800472,-152.6082501
5623.413252,-22.60464089,-153.6503045
5754.399373,-23.03950108,-154.16356
5888.436554,-23.39358997,-154.1710861
6025.595861,-23.80006923,-155.0594569
6165.950019,-24.15687927,-155.5897705
6309.573445,-24.59542045,-156.0446276
6456.54229,-24.90411765,-156.4892877
6606.93448,-25.29087979,-156.4384234
6760.829754,-25.68054556,-157.3371614
6918.309709,-26.03985514,-157.5598053
7079.457844,-26.46423191,-158.1597918
7244.359601,-26.7921226,-158.3665599
7413.102413,-27.18908132,-158.5172384
7585.77575,-27.57146948,-158.8400953
7762.471166,-27.91886273,-159.5867511
7943.282347,-28.31792285,-159.5074451
8128.305162,-28.70741766,-160.7672066
8317.637711,-29.15469013,-159.6559612
8511.380382,-29.57761571,-160.1952581
8709.6359,-29.77142481,-160.6487209
8912.509381,-30.34483263,-160.9740186
9120.108394,-30.69514143,-160.2091583
9332.543008,-31.04601959,-161.8607683
9549.92586,-31.55123729,-160.9869164
9772.37221,-31.98088506,-162.1454015
10000,-32.1593391,-161.4993668
10232.92992,-32.59633646,-162.0363057
10471.28548,-33.05733264,-163.0388746
10715.19305,-33.22406344,-162.5535398
10964.78196,-34.04836343,-163.2469623
11220.18454,-34.00819863,-163.9689616
11481.53621,-34.72467712,-161.3439939
11748.97555,-34.98137195,-163.148846
12022.64435,-35.60385233,-164.1633175
12302.68771,-35.95678533,-161.9803002
12589.25412,-36.00496036,-163.0645701
12882.49552,-36.471436,-164.3748742
13182.56739,-37.06989407,-163.1824363
13489.62883,-37.53495327,-166.5205016
13803.84265,-37.59670542,-163.0623259
14125.37545,-38.08031239,-161.1111747
14454.39771,-38.79358211,-164.0692614
14791.08388,-38.4478485,-163.5380394
15135.61248,-39.49583809,-162.0783072
15488.16619,-40.3867158,-162.7965841
15848.93192,-40.48985864,-166.1101611
16218.10097,-41.53298874,-159.8884905
16595.86907,-39.60054335,-164.4745343
16982.43652,-41.08313474,-158.7649709
17378.00829,-43.5321287,-160.5359204
17782.7941,-42.22672034,-155.540232
18197.00859,-43.56599933,-164.8121048
18620.87137,-42.58529606,-154.4828181
19054.60718,-43.09468901,-168.2609739
19498.446,-43.34472979,-155.5086397
19952.62315,-45.16472569,-157.139895
20417.37945,-44.65495125,-155.1674017
20892.96131,-44.01208627,-157.3576236
21379.6209,-44.77169888,-151.7251405
21877.61624,-45.60487502,-154.6151031
22387.21139,-44.89249668,-154.8612274
22908.67653,-45.72885982,-149.2363981
23442.28815,-45.00986306,-149.5308376
23988.32919,-46.44386882,-147.0609044
24547.08916,-46.86497745,-147.4104813
25118.86432,-47.97426146,-138.1363393
25703.95783,-48.15777136,-140.5551449
26302.67992,-47.50731184,-148.0608834
26915.34804,-47.87460809,-148.348415
27542.28703,-47.68984527,-134.4554609
28183.82931,-48.21973563,-142.1891754
28840.31503,-49.51414065,-128.9416836
29512.09227,-48.06676695,-154.1456469
30199.5172,-49.47130282,-112.8698406
30902.95433,-53.61023829,-106.544584
31622.7766,-44.34664204,-113.652531
32359.36569,-50.62819158,-122.8975266
33113.11215,-49.45933662,-125.3415232
33884.41561,-53.0740295,-99.67165789
34673.68505,-50.92484274,-122.1950147
35481.33892,-47.41885178,-137.7291477
36307.80548,-45.84930368,-121.7363816
37153.52291,-48.93047265,-133.1873643
38018.93963,-45.76675548,-119.0810898
38904.5145,-48.51236622,-130.3328041
39810.71706,-48.27991546,-122.7554869
40738.02778,-49.4869468,-114.8403527
41686.93835,-49.9264693,-107.5680508
42657.95188,-47.49120053,-131.8760423
43651.58322,-46.31617704,-113.3382199
44668.35922,-50.42007337,-130.6831114
45708.81896,-46.96975088,-118.8986178
46773.51413,-48.97345064,-109.8858373
47863.00923,-43.64716896,-89.31632817
48977.88194,-48.18098376,-106.9802605
50118.72336,-49.01800655,-109.1027648
51286.1384,-45.24741608,-134.641424
52480.74602,-46.22245893,-68.46407269
53703.17964,-48.50658851,-105.3883019
54954.08739,-45.11813806,-94.60863014
56234.13252,-51.02369812,-77.30409243
57543.99373,-44.87231541,-74.17345324
58884.36554,-47.85025065,-115.6405478
60255.95861,-46.10883196,-113.589022
61659.50019,-48.3060717,-93.57390837
63095.73445,-46.33152215,-97.41073611
64565.4229,-46.71347117,-105.4986575
66069.3448,-46.72596331,-86.25264481
67608.29754,-41.34713625,-96.4324497
69183.09709,-43.94128579,-116.0845211
70794.57844,-45.43316919,-101.0917275
72443.59601,-45.1978774,-102.7900631
74131.02413,-43.2030302,-95.95603408
75857.7575,-47.43915061,-94.2282869
77624.71166,-44.529534,-113.7406066
79432.82347,-42.69871653,-92.90043026
81283.05162,-44.0686942,-78.351236
83176.37711,-43.91771654,-102.0630766
85113.80382,-44.11108038,-82.9495969
87096.359,-41.51904859,-97.43564407
89125.09381,-46.66602798,-129.2443586
91201.08394,-49.99543366,-96.40661356
93325.43008,-40.35355804,-131.8391823
95499.2586,-44.39305166,-77.52263542
97723.7221,-43.11979116,-91.51505084
100000,-44.01521893,-165.1790607
