Frequency (Hz),Channel1 (V1) Magnitude (X),Channel2 (V2) Magnitude (X),Channel2 (V2) Phase (бу)
1625117.968,0.986172367,0.714272188,-132.9425659
1713543.729,0.984284913,0.682848731,-133.142492
1806780.905,0.983114296,0.652445619,-133.4066519
1905091.292,0.981608252,0.622879972,-133.7871627
2008750.935,0.978715347,0.594750043,-134.2000811
2118050.896,0.975961385,0.56743885,-134.6901315
2233298.076,0.975310113,0.541541315,-135.2224799
2354816.075,0.973054684,0.516632472,-135.8174982
2482946.099,0.96996416,0.492786803,-136.5391164
2618047.921,0.965241216,0.47024026,-137.3589521
2760500.891,0.964488371,0.448777875,-138.447815
2910704.998,0.958029158,0.428179197,-139.7907515
3069081.996,0.956554357,0.408197753,-141.4590974
3236076.588,0.9531716,0.388926159,-143.5521726
3412157.674,0.947361613,0.37032686,-145.9758874
3597819.667,0.943738653,0.352259811,-148.7551381
3793583.882,0.938530227,0.335036695,-151.8909491
4000000,0.932462584,0.318310607,-155.4251533
